,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
0,E0,10/08/2018,Man United,Leicester,2,1,H,1,0,H,A Marriner,8,13,6,4,11,8,2,5,2,1,0,0,1.57,3.9,7.5,10,5.2632,5.5263,1.9211,1.5000,13.8421,13.5526,1.7105,1.3421,1.4211,1.2632
1,E0,11/08/2018,Bournemouth,Cardiff,2,0,H,1,0,H,K Friend,12,10,4,1,11,9,7,4,1,1,0,0,1.9,3.6,4.5,10,5.0263,4.4211,1.5789,1.7368,11.7368,10.9737,1.4737,0.8947,1.8421,1.8158
2,E0,11/08/2018,Fulham,Crystal Palace,0,2,A,0,1,A,M Dean,15,10,6,9,9,11,5,5,1,2,0,0,2.5,3.4,3.0,10,4.2368,5.3947,1.7895,1.5263,11.9474,12.9737,0.8947,1.3421,2.1316,1.3947
3,E0,11/08/2018,Huddersfield,Chelsea,0,3,A,0,2,A,C Kavanagh,6,13,1,4,9,8,2,5,2,1,0,0,6.5,4.0,1.61,10,4.2632,5.6579,1.4474,1.2895,10.5263,15.9737,0.5789,1.6579,2.0000,1.0263
4,E0,11/08/2018,Newcastle,Tottenham,1,2,A,1,2,A,M Atkinson,15,15,2,5,11,12,3,5,2,2,0,0,3.9,3.5,2.04,10,4.7632,5.1053,1.5000,1.4737,11.7368,14.1316,1.1053,1.7632,1.2632,1.0263
5,E0,11/08/2018,Watford,Brighton,2,0,H,1,0,H,J Moss,19,6,5,0,10,16,8,2,2,2,0,0,2.37,3.2,3.4,10,4.6579,4.1053,2.0263,1.5789,11.5000,9.7632,1.3684,0.9211,1.5526,1.5789
6,E0,11/08/2018,Wolves,Everton,2,2,D,1,1,D,C Pawson,11,6,4,5,8,7,3,6,0,1,0,1,2.37,3.3,3.3,10,5.1316,5.6579,1.8947,1.4474,12.5526,13.1053,1.2368,1.4211,1.2105,1.2105
7,E0,12/08/2018,Arsenal,Man City,0,2,A,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0,4.0,3.8,1.95,10,2.8684,7.8421,1.8947,1.1579,12.2895,17.9737,1.9211,2.5000,1.3421,0.6053
8,E0,12/08/2018,Liverpool,West Ham,4,0,H,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0,1.25,6.5,14.0,10,6.5526,4.9474,1.0000,1.5526,15.1316,11.6053,2.3421,1.3684,0.5789,1.4474
9,E0,12/08/2018,Southampton,Burnley,0,0,D,0,0,D,G Scott,18,16,3,6,10,9,8,5,0,1,0,0,1.85,3.5,5.0,10,5.0789,3.6842,1.8684,1.9737,12.7105,9.4737,1.1842,1.1842,1.7105,1.7895
10,E0,18/08/2018,Cardiff,Newcastle,0,0,D,0,0,D,C Pawson,12,12,1,6,14,16,5,5,2,2,0,1,3.25,3.1,2.54,10,4.4211,4.7632,1.7368,1.5000,10.9737,11.7368,0.8947,1.1053,1.8158,1.2632
11,E0,18/08/2018,Chelsea,Arsenal,3,2,H,2,2,D,M Atkinson,24,15,11,6,12,9,5,1,0,2,0,0,1.8,4.0,4.5,10,5.6579,2.8684,1.2895,1.8947,15.9737,12.2895,1.6579,1.9211,1.0263,1.3421
12,E0,18/08/2018,Everton,Southampton,2,1,H,2,0,H,L Mason,13,15,7,4,8,20,2,5,0,5,0,0,1.9,3.5,4.75,10,5.6579,5.0789,1.4474,1.8684,13.1053,12.7105,1.4211,1.1842,1.2105,1.7105
13,E0,18/08/2018,Leicester,Wolves,2,0,H,2,0,H,M Dean,6,11,2,3,10,8,1,9,2,1,1,0,2.04,3.5,3.9,10,5.5263,5.1316,1.5000,1.8947,13.5526,12.5526,1.3421,1.2368,1.2632,1.2105
14,E0,18/08/2018,Tottenham,Fulham,3,1,H,1,0,H,A Taylor,25,10,11,3,9,5,5,2,0,0,0,0,1.28,6.0,12.0,10,5.1053,4.2368,1.4737,1.7895,14.1316,11.9474,1.7632,0.8947,1.0263,2.1316
15,E0,18/08/2018,West Ham,Bournemouth,1,2,A,1,0,H,S Attwell,11,12,5,5,14,10,6,4,6,2,0,0,2.1,3.6,3.7,10,4.9474,5.0263,1.5526,1.5789,11.6053,11.7368,1.3684,1.4737,1.4474,1.8421
16,E0,19/08/2018,Brighton,Man United,3,2,H,3,1,H,K Friend,6,9,3,3,16,13,3,5,1,1,0,0,5.5,3.6,1.75,10,4.1053,5.2632,1.5789,1.9211,9.7632,13.8421,0.9211,1.7105,1.5789,1.4211
